name,year_start,year_end,position,height,weight,birth_date,college
E.C. Coleman,1974,1979,F,06-Aug,225,"September 25, 1950",Houston Baptist University
Earl Barron,2006,2015,C,7-0,250,"August 14, 1981",University of Memphis
Earl Boykins,1999,2012,G,05-May,135,"June 2, 1976",Eastern Michigan University
Earl Clark,2010,2015,F,06-Oct,225,"January 17, 1988",University of Louisville
Earl Cureton,1981,1997,F-C,06-Sep,210,"September 3, 1957",University of Detroit Mercy
Earl Dodd,1950,1950,F,06-May,175,"November 1, 1924",Truman State University
Earl Evans,1980,1980,F,06-Aug,202,"November 11, 1955","University of Nevada, Las Vegas"
Earl Gardner,1949,1949,F,06-Mar,195,"September 18, 1923",DePauw University
Earl Jones,1985,1986,C,7-0,210,"January 13, 1961",University of the District of Columbia
Earl Lloyd,1951,1960,F-C,06-May,200,"April 3, 1928",West Virginia State University
Earl Monroe,1968,1980,G,06-Mar,185,"November 21, 1944",Winston-Salem State University
Earl Shannon,1947,1949,G-F,05-Nov,170,"November 23, 1921",University of Rhode Island
Earl Tatum,1977,1980,G-F,06-May,185,"July 26, 1953",Marquette University
Earl Watson,2002,2014,G,06-Jan,195,"June 12, 1979","University of California, Los Angeles"
Earl Williams,1975,1979,C-F,06-Jul,230,"March 24, 1951",Winston-Salem State University
Earle Higgins,1971,1971,F,06-Aug,195,"December 30, 1946",Eastern Michigan University
Earnie Killum,1971,1971,G,06-Mar,180,"June 11, 1948",Stetson University
Easy Parham,1949,1951,F-G,06-Mar,200,"December 27, 1921",Texas Wesleyan University
Ed Bartels,1950,1951,F,06-May,195,"October 8, 1925",North Carolina State University
Ed Beach,1951,1951,F,06-Mar,200,"January 25, 1929",West Virginia University
Ed Biedenbach,1969,1969,G,06-Jan,175,"August 12, 1945",North Carolina State University
Ed Burton,1962,1965,F,06-Jun,225,"August 13, 1939",Michigan State University
Ed Conlin,1956,1962,F-G,06-May,200,"September 2, 1933",Fordham University
Ed Dahler,1952,1952,F,06-May,190,"January 31, 1926",Duquesne University
Ed Davis,2011,2018,F,06-Oct,240,"June 5, 1989",University of North Carolina
Ed Earle,1954,1954,F,06-Mar,190,"April 28, 1927",Loyola University of Chicago
Ed Fleming,1956,1960,G-F,06-Mar,189,"July 25, 1933",Niagara University
Ed Gayda,1951,1951,G-F,06-Apr,210,"May 11, 1927",Washington State University
Ed Gray,1998,1999,G,06-Mar,210,"September 27, 1975",University of California
Ed Horton,1990,1990,F,06-Aug,230,"December 17, 1967",University of Iowa
Ed Johnson,1969,1971,C,06-Aug,205,"June 17, 1944",Tennessee State University
Ed Kalafat,1955,1957,C-F,06-Jun,245,"October 13, 1932",University of Minnesota
Ed Kasid,1947,1947,G,05-Nov,185,"August 13, 1923",
Ed Leede,1950,1951,F-G,06-Mar,185,"July 17, 1927",Dartmouth College
Ed Macauley,1950,1959,C-F,06-Aug,185,"March 22, 1928",Saint Louis University
Ed Manning,1968,1976,F,06-Jul,210,"January 2, 1944",Jackson State University
Ed Melvin,1947,1947,G,05-Sep,170,"February 13, 1916",Duquesne University
Ed Mikan,1949,1954,C-F,06-Aug,230,"October 20, 1925",DePaul University
Ed Nealy,1983,1993,F,06-Jul,238,"February 19, 1960",Kansas State University
Ed O'Bannon,1996,1997,F,06-Aug,222,"August 14, 1972","University of California, Los Angeles"
Ed Peterson,1950,1951,C,06-Sep,220,"June 27, 1924",Cornell University
Ed Pinckney,1986,1997,F,06-Sep,195,"March 27, 1963",Villanova University
Ed Rains,1982,1983,F,06-Jul,190,"December 24, 1956",University of South Alabama
Ed Ratleff,1974,1978,F-G,06-Jun,195,"March 29, 1950","California State University, Long Beach"
Ed Sadowski,1947,1950,C,06-May,240,"July 11, 1917",Seton Hall University
Ed Searcy,1976,1976,F,06-Jun,210,"April 17, 1952",St. John's University
Ed Sherod,1983,1983,G,06-Feb,170,"September 13, 1959",Virginia Commonwealth University
Ed Smith,1954,1954,F,06-Jun,180,"July 5, 1929",Harvard University
Ed Stanczak,1950,1951,F,06-Jan,185,"August 15, 1921",
Ed Stokes,1998,1998,C,7-0,264,"September 3, 1971",University of Arizona
Eddie Basden,2006,2006,G,06-May,215,"February 15, 1983",University of North Carolina at Charlotte
Eddie Gill,2001,2009,G,6-0,190,"August 16, 1978",Weber State University
Eddie Griffin,2002,2007,F-C,06-Oct,220,"May 30, 1982",Seton Hall University
Eddie House,2001,2011,G,06-Jan,180,"May 14, 1978",Arizona State University
Eddie Hughes,1988,1990,G,05-Oct,165,"May 26, 1960",Colorado State University
Eddie Johnson,1978,1987,G,06-Feb,180,"February 24, 1955",Auburn University
Eddie Johnson,1982,1999,F-G,06-Jul,215,"May 1, 1959",University of Illinois at Urbana-Champaign
Eddie Jones,1995,2008,G-F,06-Jun,190,"October 20, 1971",Temple University
Eddie Jordan,1978,1984,G,06-Jan,170,"January 29, 1955",Rutgers University
Eddie Lee Wilkins,1985,1993,F-C,06-Oct,220,"May 7, 1962",Gardner-Webb University
Eddie Mast,1971,1973,F-C,06-Sep,220,"October 3, 1948",Temple University
Eddie Miles,1964,1972,G-F,06-Apr,195,"July 5, 1940",Seattle University
Eddie Miller,1953,1954,C-F,06-Aug,225,"June 18, 1931",Syracuse University
Eddie Owens,1978,1978,F,06-Jul,210,"December 26, 1953","University of Nevada, Las Vegas"
Eddie Phillips,1983,1983,F,06-Jul,225,"September 29, 1961",University of Alabama
Eddie Robinson,2000,2004,G-F,06-Aug,210,"April 19, 1976",University of Central Oklahoma
Eddy Curry,2002,2013,C,7-0,295,"December 5, 1982",
Edgar Jones,1981,1986,F-C,06-Oct,225,"June 17, 1956","University of Nevada, Reno"
Edgar Lacey,1969,1969,F,06-Jun,190,"August 2, 1944","University of California, Los Angeles"
Edmund Lawrence,1981,1981,C,7-0,228,"December 8, 1952",McNeese State University
Eduardo Najera,2001,2012,F,06-Aug,240,"July 11, 1976",University of Oklahoma
Edwin Ubiles,2012,2012,G,06-Jun,204,"November 26, 1986",Siena College
Edy Tavares,2016,2017,C,07-Mar,260,"March 22, 1992",
Efthimi Rentzias,2003,2003,C,06-Nov,250,"January 11, 1976",
Ekpe Udoh,2011,2018,C-F,06-Oct,240,"May 20, 1987",Baylor University
Elden Campbell,1991,2005,C,06-Nov,215,"July 23, 1968",Clemson University
Eldridge Recasner,1995,2002,G,06-Mar,190,"December 14, 1967",University of Washington
Elfrid Payton,2015,2018,G,06-Apr,185,"February 22, 1994",University of Louisiana at Lafayette
Elgin Baylor,1959,1972,F,06-May,225,"September 16, 1934",Seattle University
Elias Harris,2014,2014,F,06-Aug,239,"July 6, 1989",Gonzaga University
Elijah Millsap,2015,2017,G-F,06-Jun,225,"August 12, 1987",University of Alabama at Birmingham
Elliot Perry,1992,2002,G,6-0,150,"March 28, 1969",University of Memphis
Elliot Williams,2012,2016,G,06-May,190,"June 20, 1989",University of Memphis
Elmer Behnke,1952,1952,C,06-Jul,210,"February 3, 1929",Bradley University
Elmer Bennett,1995,1997,G,6-0,170,"February 13, 1970",University of Notre Dame
Elmer Gainer,1948,1950,F-C,06-Jun,195,"November 22, 1918",DePaul University
Elmore Morgenthaler,1947,1949,C,06-Sep,230,"August 3, 1922",New Mexico Institute of Mining and Technology
Elmore Smith,1972,1979,C,7-0,250,"May 9, 1949",Kentucky State University
Elmore Spencer,1993,1997,C,7-0,270,"December 6, 1969","University of Nevada, Las Vegas"
Elnardo Webster,1972,1972,F,06-May,190,"March 6, 1948",Saint Peter's College
Elston Turner,1982,1989,G-F,06-May,190,"June 10, 1959",University of Mississippi
Elton Brand,2000,2016,F,06-Aug,275,"March 11, 1979",Duke University
Elton McGriff,1968,1969,C,06-Sep,225,"August 21, 1942",Creighton University
Elvin Hayes,1969,1984,F-C,06-Sep,235,"November 17, 1945",University of Houston
Elvin Ivory,1969,1969,F,06-Aug,210,"July 2, 1948",University of Louisiana at Lafayette
Em Bryant,1965,1972,G,06-Jan,175,"November 4, 1938",DePaul University
Emanual Davis,1997,2003,G,06-Apr,195,"August 27, 1968",Delaware State University
Emeka Okafor,2005,2013,C-F,06-Oct,252,"September 28, 1982",University of Connecticut
Emmanuel Mudiay,2016,2018,G,06-May,200,"March 5, 1996",
Enes Kanter,2012,2018,C,06-Nov,245,"May 20, 1992",
Ennis Whatley,1984,1997,G,06-Mar,177,"August 11, 1962",University of Alabama
Eric Anderson,1993,1994,F,06-Sep,220,"May 26, 1970",Indiana University
Eric Bledsoe,2011,2018,G,06-Jan,205,"December 9, 1989",University of Kentucky
Eric Dawson,2012,2012,F,06-Sep,250,"July 7, 1984",Midwestern State University
Eric Fernsten,1976,1984,C-F,06-Oct,205,"November 1, 1953",University of San Francisco
Eric Gordon,2009,2018,G,06-Apr,215,"December 25, 1988",Indiana University
Eric Johnson,1990,1990,G,06-Feb,205,"February 7, 1966",University of Nebraska
Eric Leckner,1989,1997,C-F,06-Nov,265,"May 27, 1966",University of Wyoming
Eric Maynor,2010,2014,G,06-Mar,175,"June 11, 1987",Virginia Commonwealth University
Eric McWilliams,1973,1973,F,06-Aug,200,"April 18, 1950","California State University, Long Beach"
Eric Mobley,1995,1997,C,06-Nov,235,"February 1, 1970",University of Pittsburgh
Eric Money,1975,1980,G,6-0,170,"February 6, 1955",University of Arizona
Eric Montross,1995,2002,C,7-0,270,"September 23, 1971",University of North Carolina
Eric Moreland,2015,2018,F-C,06-Oct,238,"December 24, 1991",Oregon State University
Eric Murdock,1992,2000,G,06-Jan,190,"June 14, 1968",Providence College
Eric Piatkowski,1995,2008,G-F,06-Jul,215,"September 30, 1970",University of Nebraska
Eric Riley,1994,1999,C,7-0,245,"June 2, 1970",University of Michigan
Eric Snow,1996,2008,G,06-Mar,190,"April 24, 1973",Michigan State University
Eric Washington,1998,1999,G,06-Apr,190,"March 23, 1974",University of Alabama
Eric White,1988,1989,F,06-Aug,200,"December 30, 1965",Pepperdine University
Eric Williams,1996,2007,F,06-Aug,220,"July 17, 1972",Providence College
Erick Barkley,2001,2002,G,06-Jan,177,"February 21, 1978",St. John's University
Erick Dampier,1997,2012,C,06-Nov,265,"July 14, 1975",Mississippi State University
Erick Green,2015,2016,G,06-Apr,185,"May 9, 1991",Virginia Polytechnic Institute and State University
Erick Strickland,1997,2005,G,06-Mar,210,"November 25, 1973",University of Nebraska
Erik Daniels,2005,2005,F,06-Aug,214,"April 1, 1982",University of Kentucky
Erik Murphy,2014,2014,F,06-Oct,230,"October 26, 1990",University of Florida
Ernest Brown,2002,2002,C,7-0,244,"May 17, 1979",Indian Hills Community College
Ernie Barrett,1954,1956,G-F,06-Mar,180,"August 27, 1929",Kansas State University
Ernie Beck,1954,1961,G-F,06-Apr,190,"December 11, 1931",University of Pennsylvania
Ernie Calverley,1947,1949,G,05-Oct,145,"January 30, 1924",University of Rhode Island
Ernie DiGregorio,1974,1978,G,6-0,180,"January 15, 1951",Providence College
Ernie Grunfeld,1978,1986,G-F,06-Jun,210,"April 24, 1955",University of Tennessee
Ernie Vandeweghe,1950,1956,F-G,06-Mar,195,"September 12, 1928",Colgate University
Errol Palmer,1968,1968,F,06-May,195,,DePaul University
Ersan Ilyasova,2007,2018,F,06-Oct,235,"May 15, 1987",
Erv Staggs,1970,1970,F-G,06-Jun,195,,Cheyney University of Pennsylvania
Ervin Inniger,1968,1969,G,06-Apr,190,"January 16, 1945",Indiana University
Ervin Johnson,1994,2006,C,06-Nov,245,"December 21, 1967",University of New Orleans
Erwin Mueller,1967,1974,C-F,06-Aug,230,"March 12, 1944",University of San Francisco
Essie Hollis,1979,1979,F,06-Jun,195,"May 16, 1955",St. Bonaventure University
Esteban Batista,2006,2007,F-C,06-Oct,270,"September 2, 1983",
Etan Thomas,2002,2011,F,06-Sep,256,"April 1, 1978",Syracuse University
Etdrick Bohannon,1998,2001,F,06-Sep,220,"May 29, 1973",Auburn University at Montgomery
E'Twaun Moore,2012,2018,G,06-Apr,191,"February 28, 1989",Purdue University
Eugene Jeter,2011,2011,G,05-Nov,175,"December 2, 1983",University of Portland
Evan Eschmeyer,2000,2003,C,06-Nov,255,"May 30, 1975",Northwestern University
Evan Fournier,2013,2018,G-F,06-Jul,205,"October 29, 1992",
Evan Turner,2011,2018,G,06-Jul,220,"October 27, 1988",Ohio State University
Everette Stephens,1989,1991,G,06-Feb,175,"October 21, 1966",Purdue University
Evers Burns,1994,1994,F,06-Aug,260,"August 24, 1971",University of Maryland
Evric Gray,1997,1997,F,06-Jul,235,"December 13, 1969","University of Nevada, Las Vegas"
Fab Melo,2013,2013,C,7-0,255,"June 20, 1990",Syracuse University
Fabricio Oberto,2006,2011,C-F,06-Oct,245,"March 21, 1975",
Fat Lever,1983,1994,G,06-Mar,170,"August 18, 1960",Arizona State University
Fatty Taylor,1970,1977,G,6-0,175,"March 13, 1946",La Salle University
Felipe Lopez,1999,2002,G,06-May,199,"December 19, 1974",St. John's University
Felton Spencer,1991,2002,C,7-0,265,"January 15, 1968",University of Louisville
Fennis Dembo,1989,1989,F,06-May,215,"January 24, 1966",University of Wyoming
Fernando Martin,1987,1987,C,06-Sep,220,"March 25, 1962",
Festus Ezeli,2013,2016,C,06-Nov,255,"October 21, 1989",Vanderbilt University
Floyd Theard,1970,1970,G,06-Jan,170,"September 5, 1944",Kentucky State University
Floyd Volker,1950,1950,F-C,06-Apr,205,"June 21, 1921",University of Wyoming
Fly Williams,1975,1975,G-F,06-May,200,"February 18, 1953",Austin Peay State University
Flynn Robinson,1967,1974,G,06-Jan,185,"April 28, 1941",University of Wyoming
Foots Walker,1975,1984,G,6-0,184,"May 21, 1951",State University of West Georgia
Forest Able,1957,1957,G,06-Mar,180,"July 27, 1932",Western Kentucky University
Forrest McKenzie,1987,1987,F,06-Jul,200,"February 16, 1963",Loyola Marymount University
Fran Curran,1949,1950,G,6-0,175,"September 9, 1922",University of Notre Dame
Fran O'Hanlon,1971,1971,G,06-Jan,175,"August 24, 1948",Villanova University
Francisco Elson,2004,2012,C,7-0,235,"February 28, 1976",University of California
Francisco Garcia,2006,2015,F-G,06-Jul,195,"December 31, 1981",University of Louisville
Frank Brickowski,1985,1997,F-C,06-Sep,240,"August 14, 1959",Pennsylvania State University
Frank Card,1969,1973,F,06-Jul,195,"December 28, 1944",South Carolina State University
Frank Fucarino,1947,1947,F,06-Feb,175,"July 24, 1920",Long Island University
Frank Gates,1950,1950,G,6-0,160,"April 12, 1920",Sam Houston State University
Frank Johnson,1982,1994,G,06-Jan,185,"November 23, 1958",Wake Forest University
Frank Kaminsky,2016,2018,F-C,7-0,242,"April 4, 1993",University of Wisconsin
Frank Kendrick,1975,1975,F,06-Jun,198,"September 11, 1950",Purdue University
Frank Kornet,1990,1991,F,06-Sep,225,"January 27, 1967",Vanderbilt University
Frank Kudelka,1950,1953,G-F,06-Feb,193,"June 25, 1925",Saint Mary's College of California
Frank Mangiapane,1947,1947,G,05-Oct,195,"August 5, 1925",New York University
Frank Mason,2018,2018,G,6-0,189,"April 3, 1994",University of Kansas
Frank Ntilikina,2018,2018,G,06-May,190,"July 28, 1998",
Frank Oleynick,1976,1977,G,06-Feb,185,"February 20, 1955",Seattle University
Frank Radovich,1962,1962,F,06-Aug,235,"March 3, 1938",Indiana University
Frank Ramsey,1955,1964,F-G,06-Mar,190,"July 13, 1931",University of Kentucky
Frank Reddout,1954,1954,F,06-May,195,,Syracuse University
Frank Russell,1973,1973,G,06-Mar,180,"April 17, 1949",University of Detroit Mercy
Frank Schade,1973,1973,G,06-Jan,170,"January 22, 1950",University of Wisconsin-Eau Claire
Frank Selvy,1955,1964,G-F,06-Mar,180,"November 9, 1932",Furman University
Frank Williams,2003,2005,G,06-Mar,212,"February 25, 1980",University of Illinois at Urbana-Champaign
Frankie Baumholtz,1947,1947,G,05-Oct,170,"October 7, 1918",Ohio University
Frankie Brian,1950,1956,G,06-Jan,180,"May 1, 1923",Louisiana State University
Frankie King,1996,1997,G,06-Jan,185,"June 6, 1972",Western Carolina University
Frankie Sanders,1979,1981,F-G,06-Jun,200,"January 23, 1957",Southern University and A&M College
Franklin Edwards,1982,1988,G,06-Jan,170,"February 2, 1959",Cleveland State University
Fred Brown,1972,1984,G,06-Mar,182,"August 7, 1948",University of Iowa
Fred Carter,1970,1977,G-F,06-Mar,185,"February 14, 1945",Mount St. Mary's University
Fred Christ,1955,1955,G,06-Apr,210,"August 6, 1930",Fordham University
Fred Cofield,1986,1987,G,06-Mar,190,"January 4, 1962",Eastern Michigan University
Fred Diute,1955,1955,G,06-Mar,210,"January 9, 1929",St. Bonaventure University
Fred Foster,1969,1977,F,06-May,210,"March 18, 1946",Miami University
Fred Hetzel,1966,1971,F-C,06-Aug,220,"July 21, 1942",Davidson College
Fred Hilton,1972,1973,G-F,06-Mar,185,"January 15, 1948",Grambling State University
Fred Hoiberg,1996,2005,G,06-Apr,203,"October 15, 1972",Iowa State University
Fred Jacobs,1947,1947,F,06-Mar,175,"December 2, 1922",University of Denver
Fred Jones,2003,2009,G-F,06-Apr,210,"March 11, 1979",University of Oregon
Fred LaCour,1961,1963,G-F,06-May,210,"February 7, 1938",University of San Francisco
Fred Paine,1949,1949,F,06-May,210,"December 7, 1925",Westminster College of Pennsylvania
Fred Roberts,1984,1997,F-C,06-Oct,218,"August 14, 1960",Brigham Young University
Fred Saunders,1975,1978,F,06-Jul,210,"June 13, 1951",Syracuse University
Fred Schaus,1950,1954,F,06-May,205,"June 30, 1925",West Virginia University
Fred Scolari,1947,1955,G,05-Oct,180,"March 1, 1922",University of San Francisco
Fred Sheffield,1947,1947,F,06-Feb,165,"November 5, 1923",University of Utah
Fred Taylor,1971,1972,G-F,06-May,180,"February 5, 1948",University of Texas-Pan American
Fred VanVleet,2017,2018,G,6-0,195,"February 25, 1994",Wichita State University
Fred Vinson,1995,2000,G,06-Apr,190,"January 28, 1971",Georgia Institute of Technology
Freddie Boyd,1973,1978,G,06-Feb,180,"June 13, 1950",Oregon State University
Freddie Crawford,1967,1971,G-F,06-Apr,189,"December 23, 1941",St. Bonaventure University
Freddie Lewis,1949,1950,F-G,06-Feb,195,"January 6, 1921",Eastern Kentucky University
Freddie Lewis,1967,1977,G,6-0,175,"July 1, 1943",Arizona State University
Freeman Williams,1979,1986,G-F,06-Apr,190,"May 15, 1956",Portland State University
Frido Frey,1947,1947,F,06-Feb,195,"October 26, 1921",Long Island University
Fritz Nagy,1949,1949,G-F,06-Feb,185,"January 3, 1924",University of Akron
Furkan Aldemir,2015,2015,F-C,06-Oct,240,"August 9, 1991",
Furkan Korkmaz,2018,2018,G,06-Jul,185,"July 24, 1997",
Gabe Pruitt,2008,2009,G,06-Apr,170,"April 19, 1986",University of Southern California
Gail Goodrich,1966,1979,G,06-Jan,170,"April 23, 1943","University of California, Los Angeles"
Gal Mekel,2014,2015,G,06-Mar,191,"March 4, 1988",Wichita State University
Gale Bishop,1949,1949,F,06-Mar,195,"June 4, 1922",Washington State University
Gani Lawal,2011,2011,F,06-Sep,234,"November 7, 1988",Georgia Institute of Technology
Gar Heard,1971,1981,F,06-Jun,219,"May 3, 1948",University of Oklahoma
Garfield Smith,1971,1973,C-F,06-Sep,235,"November 18, 1945",Eastern Kentucky University
Garland O'Shields,1947,1947,G-F,06-Jan,195,"May 23, 1921",University of Tennessee
